# DocID, SentenceNr, SenTokenPos, DocTokenPos, SenCharOnset(incl), SenCharOffset(excl), DocCharOnset(incl), DocCharOffset(excl), Text
40, 1, 1, 1, 0, 14, 0, 14, "﻿Arylsulfatase"
40, 1, 2, 2, 15, 16, 15, 16, "B"
40, 1, 3, 3, 17, 25, 17, 25, "Improves"
40, 1, 4, 4, 26, 35, 26, 35, "Locomotor"
40, 1, 5, 5, 36, 44, 36, 44, "Function"
40, 1, 6, 6, 45, 50, 45, 50, "after"
40, 1, 7, 7, 51, 56, 51, 56, "Mouse"
40, 1, 8, 8, 57, 63, 57, 63, "Spinal"
40, 1, 9, 9, 64, 68, 64, 68, "Cord"
40, 1, 10, 10, 69, 75, 69, 75, "Injury"
40, 1, 11, 11, 76, 84, 76, 84, "Myungsik"
40, 1, 12, 12, 85, 89, 85, 89, "Yoo1"
40, 1, 13, 13, 89, 90, 89, 90, ","
40, 1, 14, 14, 91, 99, 91, 99, "Muntasir"
40, 1, 15, 15, 100, 107, 100, 107, "Khaled1"
40, 1, 16, 16, 107, 108, 107, 108, ","
40, 1, 17, 17, 109, 113, 109, 113, "Kurt"
40, 1, 18, 18, 114, 115, 114, 115, "M"
40, 1, 19, 19, 115, 116, 115, 116, "."
40, 2, 1, 20, 0, 6, 117, 123, "Gibbs1"
40, 2, 2, 21, 6, 7, 123, 124, ","
40, 2, 3, 22, 8, 15, 125, 132, "Jonghun"
40, 2, 4, 23, 16, 20, 133, 137, "Kim1"
40, 2, 5, 24, 20, 21, 137, 138, ","
40, 2, 6, 25, 22, 25, 139, 142, "Bjo"
40, 2, 7, 26, 25, 26, 142, 143, "¬"
40, 2, 8, 27, 26, 27, 143, 144, "®"
40, 2, 9, 28, 27, 29, 144, 146, "rn"
40, 2, 10, 29, 30, 41, 147, 158, "Kowalewski2"
40, 2, 11, 30, 41, 42, 158, 159, ","
40, 2, 12, 31, 43, 49, 160, 166, "Thomas"
40, 2, 13, 32, 50, 57, 167, 174, "Dierks2"
40, 2, 14, 33, 57, 58, 174, 175, ","
40, 2, 15, 34, 59, 66, 176, 183, "Melitta"
40, 2, 16, 35, 67, 79, 184, 196, "Schachner1,3"
40, 2, 17, 36, 79, 80, 196, 197, "*"
40, 2, 18, 37, 81, 82, 198, 199, "1"
40, 2, 19, 38, 83, 84, 200, 201, "W"
40, 2, 20, 39, 84, 85, 201, 202, "."
40, 3, 1, 40, 0, 1, 203, 204, "M"
40, 3, 2, 41, 1, 2, 204, 205, "."
40, 4, 1, 42, 0, 4, 206, 210, "Keck"
40, 4, 2, 43, 5, 11, 211, 217, "Center"
40, 4, 3, 44, 12, 15, 218, 221, "for"
40, 4, 4, 45, 16, 29, 222, 235, "Collaborative"
40, 4, 5, 46, 30, 42, 236, 248, "Neuroscience"
40, 4, 6, 47, 43, 46, 249, 252, "and"
40, 4, 7, 48, 47, 57, 253, 263, "Department"
40, 4, 8, 49, 58, 60, 264, 266, "of"
40, 4, 9, 50, 61, 65, 267, 271, "Cell"
40, 4, 10, 51, 66, 73, 272, 279, "Biology"
40, 4, 11, 52, 74, 77, 280, 283, "and"
40, 4, 12, 53, 78, 90, 284, 296, "Neuroscience"
40, 4, 13, 54, 90, 91, 296, 297, ","
40, 4, 14, 55, 92, 99, 298, 305, "Rutgers"
40, 4, 15, 56, 100, 110, 306, 316, "University"
40, 4, 16, 57, 110, 111, 316, 317, ","
40, 4, 17, 58, 112, 122, 318, 328, "Piscataway"
40, 4, 18, 59, 122, 123, 328, 329, ","
40, 4, 19, 60, 124, 127, 330, 333, "New"
40, 4, 20, 61, 128, 134, 334, 340, "Jersey"
40, 4, 21, 62, 134, 135, 340, 341, ","
40, 4, 22, 63, 136, 142, 342, 348, "United"
40, 4, 23, 64, 143, 149, 349, 355, "States"
40, 4, 24, 65, 150, 152, 356, 358, "of"
40, 4, 25, 66, 153, 160, 359, 366, "America"
40, 4, 26, 67, 160, 161, 366, 367, ","
40, 4, 27, 68, 162, 163, 368, 369, "2"
40, 4, 28, 69, 164, 174, 370, 380, "Department"
40, 4, 29, 70, 175, 177, 381, 383, "of"
40, 4, 30, 71, 178, 187, 384, 393, "Chemistry"
40, 4, 31, 72, 187, 188, 393, 394, ","
40, 4, 32, 73, 189, 201, 395, 407, "Biochemistry"
40, 4, 33, 74, 202, 203, 408, 409, "I"
40, 4, 34, 75, 203, 204, 409, 410, ","
40, 4, 35, 76, 205, 214, 411, 420, "Bielefeld"
40, 4, 36, 77, 215, 225, 421, 431, "University"
40, 4, 37, 78, 225, 226, 431, 432, ","
40, 4, 38, 79, 227, 237, 433, 443, "Universita"
40, 4, 39, 80, 237, 238, 443, 444, "¬"
40, 4, 40, 81, 238, 239, 444, 445, "®"
40, 4, 41, 82, 239, 244, 445, 450, "tsstr"
40, 4, 42, 83, 245, 254, 451, 460, "Bielefeld"
40, 4, 43, 84, 254, 255, 460, 461, ","
40, 4, 44, 85, 256, 263, 462, 469, "Germany"
40, 4, 45, 86, 263, 264, 469, 470, ","
40, 4, 46, 87, 265, 266, 471, 472, "3"
40, 4, 47, 88, 267, 273, 473, 479, "Center"
40, 4, 48, 89, 274, 277, 480, 483, "for"
40, 4, 49, 90, 278, 290, 484, 496, "Neuroscience"
40, 4, 50, 91, 290, 291, 496, 497, ","
40, 4, 51, 92, 292, 299, 498, 505, "Shantou"
40, 4, 52, 93, 300, 310, 506, 516, "University"
40, 4, 53, 94, 311, 318, 517, 524, "Medical"
40, 4, 54, 95, 319, 326, 525, 532, "College"
40, 4, 55, 96, 326, 327, 532, 533, ","
40, 4, 56, 97, 328, 335, 534, 541, "Shantou"
40, 4, 57, 98, 335, 336, 541, 542, ","
40, 4, 58, 99, 337, 345, 543, 551, "Guandong"
40, 4, 59, 100, 346, 354, 552, 560, "Province"
40, 4, 60, 101, 354, 355, 560, 561, ","
40, 4, 61, 102, 356, 362, 562, 568, "People"
40, 4, 62, 103, 362, 363, 568, 569, "‚"
40, 4, 63, 104, 363, 366, 569, 572, "Äôs"
40, 4, 64, 105, 367, 375, 573, 581, "Republic"
40, 4, 65, 106, 376, 378, 582, 584, "of"
40, 4, 66, 107, 379, 384, 585, 590, "China"
40, 4, 67, 108, 386, 394, 592, 600, "Abstract"
40, 4, 68, 109, 395, 404, 601, 610, "Bacterial"
40, 4, 69, 110, 405, 419, 611, 625, "chondroitinase"
40, 4, 70, 111, 420, 423, 626, 629, "ABC"
