#Entity	isLiteral
QAInstance	false
QAQuestion	false
Question	true
Answer	true
Goal	false
Player	false
Team	false
Minute	false
CurrentScore	false
ScoreTeam	false
YellowCard	false
RedCard	false
Card	false
TeamStats	false
0	false
1	false
2	false
3	false
4	false
5	false
6	false
7	false
8	false
9	false
10	false
11	false
12	false
13	false
14	false
15	false
16	false
17	false
18	false
19	false
20	false
21	false
22	false
23	false
24	false
25	false
26	false
27	false
28	false
29	false
30	false
31	false
32	false
33	false
34	false
35	false
36	false
37	false
38	false
39	false
40	false
41	false
42	false
43	false
44	false
45	false
46	false
47	false
48	false
49	false
50	false
51	false
52	false
53	false
54	false
55	false
56	false
57	false
58	false
59	false
60	false
61	false
62	false
63	false
64	false
65	false
66	false
67	false
68	false
69	false
70	false
71	false
72	false
73	false
74	false
75	false
76	false
77	false
78	false
79	false
80	false
81	false
82	false
83	false
84	false
85	false
86	false
87	false
88	false
89	false
90	false
91	false
92	false
93	false
94	false
95	false
96	false
97	false
98	false
99	false
100	false
101	false
102	false
103	false
104	false
105	false
106	false
107	false
108	false
109	false
110	false
111	false
112	false
113	false
114	false
115	false
116	false
117	false
118	false
119	false
120	false
Aaish Fouzi Mubarak	false
Abakar Oumar	false
Abalo Jeanpaul	false
Abalo Yaovi	false
Abanda Patrice	false
Abasor Samir	false
Abba George	false
Abbas Ahmad	false
Abbas Ahmed Manajid	false
Abbas Noor	false
Abbas Noor Sabri	false
Abbasi Seyed	false
Abbey George	false
Abbondanzieri Roberto	false
Abbott Jaiden	false
Abd Iaziz Ranadan	false
Abd Rabo Hosni	false
Abdalhadi Wasim	false
Abdalla Ali Mohamed	false
Abdalla Bader	false
Abdalla Bader Eldin	false
Abdalla Elmuez	false
Abdalla Elmuez Mahgoub	false
Abdalla Mohamed	false
Abdallah Pablo	false
Abdallah Sudi	false
Abdel Amar	false
Abdel Elnazeir	false
Abdel Farag Elnazir	false
Abdel Monsef Mohamed	false
Abdel Wahab Mohamed	false
Abdellah Mohamed	false
Abdelmalk Ahmed	false
Abdessadki Yassine	false
Abdesslam Cherif	false
Abdi Wissem	false
Abdiasis Salad	false
Abdifitah Mohamed	false
Abdirisak Abshir	false
Abdo Mohamed Khaled Aref	false
Abdou Hakami	false
Abdou Samir Sabry	false
Abdoulaye Ide	false
Abdourahime Aboudou	false
Abdul Ghani	false
Abdul Khalek Muaadh	false
Abdul Manan Eddy	false
Abdul Rahman Rashed	false
Abdul Wahab Abu Al Hail	false
Abdulahi Abdi	false
Abdulaziz Bashar	false
Abduljabar Radwan	false
Abdulkadir Ahmed	false
Abdulkadir Ali	false
Abdulkadir Omar	false
Abdulkadir Sheik	false
Abdulkhaleq Muaadh	false
Abdulla A.khrem	false
Abdulla Abdulaziz	false
Abdulla Abdulla Essa	false
Abdulla Ali	false
Abdulla Ghazi Majed	false
Abdulla Meshal	false
Abdulla Rhaman	false
Abdulla Suhail	false
Abdulla Waleed Jassim	false
Abdullah Salem	false
Abdullah Wafi	false
Abdullah Yaqoub	false
Abdullah Yaqoub N.	false
Abdullayer Rashad	false
Abdulmajid Wesam Rizki	false
Abdulraheem Jumaa	false
Abdulrahman Hussain	false
Abdulsalam Juma	false
Abdulsalam Jumaa	false
Abdurachman Maman	false
Abdurahman Alkuwari	false
Abdurakhmonov Ilgar	false
Abdurazak Hussein	false
Abdusadeq Suleman	false
Abdussalah Nadder	false
Abdussalah Nader	false
Abdussalam Najib	false
Abe Yuki	false
Abebe Tamrat	false
Abeijon Nelson	false
Abeysekara Niroshan	false
Abidal Eric	false
Abomby Roland	false
Abomood Akrm	false
Abou Moslem Ahmed	false
Aboucharouane Hicham	false
Aboudy Ousay	false
Aboudy Qusay Munir	false
Abougerisha Mohamed	false
Abouta Janvier	false
Abouta Sedonoude	false
Aboutraika Mohamed	false
Aboutrika Mohamed	false
Abrams Anthony	false
Abu Alieh Qosai	false
Abu Jazar Ihab	false
Abu Zema Abdullah	false
Abualia Osama	false
Abubakari Gariba	false
Abuhamda Bilal	false
Abujazar Ihab	false
Abukhater Rafat	false
Abulatifa Fady	false
Abuseleisel Ammar	false
Abushgeer Manaf	false
Abusidu Majed	false
Acakpovi Hyacinthe	false
Acasiete Santiago	false
Acevedo Mario	false
Acevedo Tyron	false
Acharige Jayawilal	false
Acharige R.	false
Achiou Hocine	false
Acimovic Milenko	false
Acuna Jorge	false
Acuna Roberto	false
Adamu Yakubu	false
Adan Muhammad	false
Adauy Roberto	false
Adebayor Emmanuel	false
Adebayor Sheyi	false
Adeel Ahmad	false
Adeel Hussain	false
Adel Abbas	false
Adel Saleh Mohamed	false
Adeleke Gafaru	false
Adeniyi Mathieu	false
Adjamonsi Anicet	false
Adjamossi Anicet	false
Adjei Lawrence	false
Adjei Sammy	false
Adjoha Denver	false
Adnan Sayed	false
Adome Jocelyn	false
Adriano	false
Aefi Severino	false
Afarah Khalid	false
Afek Omri	false
Afeworki Abel	false
Afu Savaliga	false
Agab Sido Faisal	false
Agabaev Redjep	false
Agampodi J.s. Silva	false
Agassa Kossi	false
Agayev Muslim	false
Agbessi Coffi	false
Agboh Kuami	false
Agger Daniel	false
Aghade Medhanie	false
Aghahowa Julius	false
Aghayer Emin	false
Agius Gilbert	false
