#Entity	isLiteral
Goal	false
Scorer	false
Team	false
Minute	false
CurrentScore	false
ScoreTeamA	false
ScoreteamB	false
0	false
1	false
2	false
3	false
4	false
5	false
6	false
7	false
8	false
9	false
10	false
11	false
12	false
13	false
14	false
15	false
16	false
17	false
18	false
19	false
20	false
21	false
22	false
23	false
24	false
25	false
26	false
27	false
28	false
29	false
30	false
31	false
32	false
33	false
34	false
35	false
36	false
37	false
38	false
39	false
40	false
41	false
42	false
43	false
44	false
45	false
46	false
47	false
48	false
49	false
50	false
51	false
52	false
53	false
54	false
55	false
56	false
57	false
58	false
59	false
60	false
61	false
62	false
63	false
64	false
65	false
66	false
67	false
68	false
69	false
70	false
71	false
72	false
73	false
74	false
75	false
76	false
77	false
78	false
79	false
80	false
81	false
82	false
83	false
84	false
85	false
86	false
87	false
88	false
89	false
90	false
91	false
92	false
93	false
94	false
95	false
96	false
97	false
98	false
99	false
100	false
101	false
102	false
103	false
104	false
105	false
106	false
107	false
108	false
109	false
110	false
111	false
112	false
113	false
114	false
115	false
116	false
117	false
118	false
119	false
120	false
AFG	false
AIA	false
ALB	false
ALG	false
AND	false
ANG	false
ANT	false
ARG	false
ARM	false
ARU	false
ASA	false
ATG	false
AUS	false
AUT	false
AZE	false
BAH	false
BAN	false
BDI	false
BEL	false
BEN	false
BER	false
BFA	false
BHR	false
BIH	false
BLR	false
BLZ	false
BOL	false
BOT	false
BRA	false
BRB	false
BUL	false
CAN	false
CAY	false
CGO	false
CHA	false
CHI	false
CHN	false
CIV	false
CMR	false
COD	false
COK	false
COL	false
CPV	false
CRC	false
CRO	false
CUB	false
CYP	false
CZE	false
DEN	false
DMA	false
DOM	false
ECU	false
EGY	false
ENG	false
EQG	false
ERI	false
ESP	false
EST	false
ETH	false
FIJ	false
FIN	false
FRA	false
FRO	false
GAB	false
GAM	false
GEO	false
GHA	false
GNB	false
GRE	false
GRN	false
GUA	false
GUI	false
GUY	false
HAI	false
HKG	false
HON	false
HUN	false
IDN	false
IND	false
IRL	false
IRN	false
IRQ	false
ISL	false
ISR	false
ITA	false
JAM	false
JOR	false
JPN	false
KAZ	false
KEN	false
KGZ	false
KOR	false
KSA	false
KUW	false
LAO	false
LBR	false
LBY	false
LCA	false
LES	false
LIB	false
LIE	false
LTU	false
LUX	false
LVA	false
MAC	false
MAD	false
MAR	false
MAS	false
MDA	false
MDV	false
MEX	false
MGL	false
MKD	false
MLI	false
MLT	false
MOZ	false
MRI	false
MSR	false
MTN	false
MWI	false
NAM	false
NCA	false
NCL	false
NED	false
NGA	false
NIG	false
NIR	false
NOR	false
NZL	false
OMA	false
PAK	false
PAL	false
PAN	false
PAR	false
PER	false
PNG	false
POL	false
POR	false
PRK	false
QAT	false
ROM	false
ROU	false
RSA	false
RUS	false
RWA	false
SAM	false
SCG	false
SCO	false
SEN	false
SEY	false
SIN	false
SKN	false
SLE	false
SLV	false
SMR	false
SOL	false
SOM	false
SRI	false
STP	false
SUD	false
SUI	false
SUR	false
SVK	false
SVN	false
SWE	false
SWZ	false
SYR	false
TAH	false
TAN	false
TCA	false
TGA	false
THA	false
TJK	false
TKM	false
TOG	false
TPE	false
TRI	false
TUN	false
TUR	false
UAE	false
UGA	false
UKR	false
URU	false
USA	false
UZB	false
VAN	false
VEN	false
VGB	false
VIE	false
VIN	false
VIR	false
WAL	false
YEM	false
ZAM	false
ZIM	false
