#SuperClass	SubClasses	
Minute	1
Minute	2
Minute	3
Minute	4
Minute	5
Minute	6
Minute	7
Minute	8
Minute	9
Minute	10
Minute	11
Minute	12
Minute	13
Minute	14
Minute	15
Minute	16
Minute	17
Minute	18
Minute	19
Minute	20
Minute	21
Minute	22
Minute	23
Minute	24
Minute	25
Minute	26
Minute	27
Minute	28
Minute	29
Minute	30
Minute	31
Minute	32
Minute	33
Minute	34
Minute	35
Minute	36
Minute	37
Minute	38
Minute	39
Minute	40
Minute	41
Minute	42
Minute	43
Minute	44
Minute	45
Minute	46
Minute	47
Minute	48
Minute	49
Minute	50
Minute	51
Minute	52
Minute	53
Minute	54
Minute	55
Minute	56
Minute	57
Minute	58
Minute	59
Minute	60
Minute	61
Minute	62
Minute	63
Minute	64
Minute	65
Minute	66
Minute	67
Minute	68
Minute	69
Minute	70
Minute	71
Minute	72
Minute	73
Minute	74
Minute	75
Minute	76
Minute	77
Minute	78
Minute	79
Minute	80
Minute	81
Minute	82
Minute	83
Minute	84
Minute	85
Minute	86
Minute	87
Minute	88
Minute	89
Minute	90
Minute	91
Minute	92
Minute	93
Minute	94
Minute	95
Minute	96
Minute	97
Minute	98
Minute	99
Minute	100
Minute	101
Minute	102
Minute	103
Minute	104
Minute	105
Minute	106
Minute	107
Minute	108
Minute	109
Minute	110
Minute	111
Minute	112
Minute	113
Minute	114
Minute	115
Minute	116
Minute	117
Minute	118
Minute	119
Minute	120
ScoreTeamA	0
ScoreTeamA	1
ScoreTeamA	2
ScoreTeamA	3
ScoreTeamA	4
ScoreTeamA	5
ScoreTeamA	6
ScoreTeamA	7
ScoreTeamA	8
ScoreTeamA	9
ScoreTeamA	10
ScoreTeamB	0
ScoreTeamB	1
ScoreTeamB	2
ScoreTeamB	3
ScoreTeamB	4
ScoreTeamB	5
ScoreTeamB	6
ScoreTeamB	7
ScoreTeamB	8
ScoreTeamB	9
ScoreTeamB	10
Team	AFG
Team	AIA
Team	ALB
Team	ALG
Team	AND
Team	ANG
Team	ANT
Team	ARG
Team	ARM
Team	ARU
Team	ASA
Team	ATG
Team	AUS
Team	AUT
Team	AZE
Team	BAH
Team	BAN
Team	BDI
Team	BEL
Team	BEN
Team	BER
Team	BFA
Team	BHR
Team	BIH
Team	BLR
Team	BLZ
Team	BOL
Team	BOT
Team	BRA
Team	BRB
Team	BUL
Team	CAN
Team	CAY
Team	CGO
Team	CHA
Team	CHI
Team	CHN
Team	CIV
Team	CMR
Team	COD
Team	COK
Team	COL
Team	CPV
Team	CRC
Team	CRO
Team	CUB
Team	CYP
Team	CZE
Team	DEN
Team	DMA
Team	DOM
Team	ECU
Team	EGY
Team	ENG
Team	EQG
Team	ERI
Team	ESP
Team	EST
Team	ETH
Team	FIJ
Team	FIN
Team	FRA
Team	FRO
Team	GAB
Team	GAM
Team	GEO
Team	GHA
Team	GNB
Team	GRE
Team	GRN
Team	GUA
Team	GUI
Team	GUY
Team	HAI
Team	HKG
Team	HON
Team	HUN
Team	IDN
Team	IND
Team	IRL
Team	IRN
Team	IRQ
Team	ISL
Team	ISR
Team	ITA
Team	JAM
Team	JOR
Team	JPN
Team	KAZ
Team	KEN
Team	KGZ
Team	KOR
Team	KSA
Team	KUW
Team	LAO
Team	LBR
Team	LBY
Team	LCA
Team	LES
Team	LIB
Team	LIE
Team	LTU
Team	LUX
Team	LVA
Team	MAC
Team	MAD
Team	MAR
Team	MAS
Team	MDA
Team	MDV
Team	MEX
Team	MGL
Team	MKD
Team	MLI
Team	MLT
Team	MOZ
Team	MRI
Team	MSR
Team	MTN
Team	MWI
Team	NAM
Team	NCA
Team	NCL
Team	NED
Team	NGA
Team	NIG
Team	NIR
Team	NOR
Team	NZL
Team	OMA
Team	PAK
Team	PAL
Team	PAN
Team	PAR
Team	PER
Team	PNG
Team	POL
Team	POR
Team	PRK
Team	QAT
Team	ROM
Team	ROU
Team	RSA
Team	RUS
Team	RWA
Team	SAM
Team	SCG
Team	SCO
Team	SEN
Team	SEY
Team	SIN
Team	SKN
Team	SLE
Team	SLV
Team	SMR
Team	SOL
Team	SOM
Team	SRI
Team	STP
Team	SUD
Team	SUI
Team	SUR
Team	SVK
Team	SVN
Team	SWE
Team	SWZ
Team	SYR
Team	TAH
Team	TAN
Team	TCA
Team	TGA
Team	THA
Team	TJK
Team	TKM
Team	TOG
Team	TPE
Team	TRI
Team	TUN
Team	TUR
Team	UAE
Team	UGA
Team	UKR
Team	URU
Team	USA
Team	UZB
Team	VAN
Team	VEN
Team	VGB
Team	VIE
Team	VIN
Team	VIR
Team	WAL
Team	YEM
Team	ZAM
Team	ZIM
